INTERSECTION_ID,COUNTY,INTERSECTION_GEO,RELATION_TO_CURVE,DIST_TO_CURVE,DIST_TO_INT,INTERSECTION_TYPE,INTERSECTION_SHAPE,INTERSECTION_LEG,INTERSECTION_ANGLE,MAJ_AADT_2015RCI,MIN_AADT_2015RCI,MAX_FUNCLASS,MIN_FUNCLASS,MAX_SPEEDCAT,MIN_SPEEDCAT,MAX_LANECAT,MIN_LANECAT,IF_INTERSECT_ONSYSRD,CRASH_HE_SE,CRASH_HE_SE_TYPE_ANGLE
488959,COLUMBIA,1,no relation,0,157.615802,3wayT,T,3,90,450,450,5,4,5,4,1,1,N,0,0
488987,GLADES,1,no relation,0,123.311793,3wayY,Y,3,39.5,3000,3000,5,4,5,4,1,1,Y,0,0
488996,CALHOUN,1,no relation,0,78.790371,3wayT,T,3,90,750,750,5,4,5,3,1,1,N,0,0
489069,HARDEE,1,no relation,0,343.095176,3wayT,T,3,90,700,700,5,4,5,5,1,1,N,0,0
489072,CALHOUN,1,no relation,0,313.592439,3wayY,Y,3,50.3,1400,1400,5,4,5,3,1,1,N,0,0
489129,JACKSON,1,no relation,0,296.925563,3wayT,T,3,90,350,350,5,5,5,5,1,1,N,0,0
489244,HAMILTON,1,no relation,0,788.110117,3wayT,T,3,90,300,300,5,4,5,3,1,1,N,0,0
489249,HAMILTON,1,no relation,0,408.681412,3wayY,Y,3,89.4,150,150,5,5,5,5,1,1,N,2,0
489271,LAFAYETTE,1,no relation,0,15.539275,3wayT,T,3,90,350,100,4,4,5,3,1,1,N,0,0
489280,LAFAYETTE,1,no relation,0,634.486233,3wayT,T,3,90,600,600,5,4,5,3,1,1,N,0,0
489308,TAYLOR,1,no relation,0,38.801717,3wayT,T,3,90,800,800,5,4,6,6,1,1,Y,0,0
489402,JACKSON,1,no relation,0,381.946503,3wayY,Y,3,38.6,9000,5400,4,3,5,4,1,1,Y,3,2
489417,COLUMBIA,1,no relation,0,30.818611,3wayT,T,3,90,2600,2600,5,4,5,4,1,1,N,0,0
489421,WAKULLA,1,no relation,0,38.045481,3wayY,Y,3,77.3,700,700,5,5,7,5,1,1,N,1,0
490381,GULF,1,no relation,0,270.679825,3wayY,Y,3,72.8,,,5,5,5,5,1,1,N,0,0
490569,DIXIE,1,no relation,0,15.663882,3wayY,Y,3,61.9,300,300,5,5,5,5,1,1,N,0,0
490777,BAKER,1,no relation,0,89.334946,3wayY,Y,3,82.5,1600,1600,5,5,5,5,1,1,N,0,0
490795,HENDRY,1,no relation,0,101.472615,3wayT,T,3,90,,,5,5,5,5,1,1,N,0,0
490798,UNION,1,no relation,0,18.87042,3wayY,Y,3,69.4,600,600,5,4,5,3,1,1,N,0,0
490831,UNION,1,no relation,0,250.213039,3wayY,Y,3,51.9,250,250,5,4,5,4,1,1,N,0,0
490845,UNION,1,no relation,0,169.080107,3wayY,Y,3,72.9,,,5,5,5,5,1,1,N,0,0
490862,UNION,1,no relation,0,14.502546,3wayT,T,3,90,2300,2300,5,4,5,4,1,1,N,1,1
491054,GULF,1,no relation,0,51.439862,3wayT,T,3,90,1200,1200,5,3,5,3,1,1,N,0,0
491125,BRADFORD,1,no relation,0,114.667027,3wayT,T,3,90,,,5,4,5,4,1,1,N,0,0
491126,LEVY,1,no relation,0,32.930545,3wayY,Y,3,66.8,1400,1400,5,4,6,5,1,1,N,11,6
491181,GADSDEN,1,no relation,0,17.291432,3wayY,Y,3,62.9,3100,3100,5,3,5,3,1,1,Y,1,0
491304,WAKULLA,1,no relation,0,229.579709,3wayY,Y,3,71.4,2700,2700,5,4,5,3,1,1,N,0,0
494877,LEVY,1,no relation,0,803.214527,4wayCross,Cross,4,90,700,700,5,4,6,4,1,1,N,0,0
494896,BAKER,1,no relation,0,51.283176,3wayY,Y,3,83.8,5900,200,4,3,4,3,1,1,Y,0,0
494903,JACKSON,1,no relation,0,129.800138,4wayCross,Cross,4,90,1700,600,5,4,6,5,1,1,N,1,0
500916,BRADFORD,1,no relation,0,78.825359,4wayX,X,4,84.8,1600,1600,5,4,6,5,1,1,N,0,0
500935,GILCHRIST,1,no relation,0,33.420074,3wayY,Y,3,59.8,1200,1200,5,4,5,3,1,1,N,0,0
501083,WAKULLA,1,no relation,0,156.657875,3wayY,Y,3,84.2,5100,5100,5,4,5,4,1,1,N,0,0
501105,LEVY,1,no relation,0,379.754342,3wayT,T,3,90,1200,1200,5,5,6,5,1,1,N,0,0
